# Derivatives solution step at time 0 performed in 0 iterations with 0 error
# Key for lines starting with "Step":
# Step Time TStep NIter ResErr SolErr SolConv Out
Step 0 0 0 0 0 0 0 1
Step 1 0.005 0.005 0 0 0 0 1
Info: 0, success BALANC="P" ILO=7 IHI=342 ABNRM=5.87495e+08 BBNRM=5.87847e+08
Mode n.       Real           Imag             Damp %     Freq Hz
       7:    -0.834634 +      105.488 j        0.791186          16.789
       8:    -0.834634 +     -105.488 j        0.791186         -16.789
       9:     -1.07178 +      119.537 j         0.89657          19.025
      10:     -1.07178 +     -119.537 j         0.89657         -19.025
      11:     -2.89841 +      196.564 j         1.47438         31.2841
      12:     -2.89841 +     -196.564 j         1.47438        -31.2841
      13:     -5.07753 +      260.143 j         1.95145         41.4031
      14:     -5.07753 +     -260.143 j         1.95145        -41.4031
      15:     -6.87884 +      302.771 j         2.27137         48.1876
      16:     -6.87884 +     -302.771 j         2.27137        -48.1876
      17:     -8.01225 +       326.75 j         2.45136         52.0039
      18:     -8.01225 +      -326.75 j         2.45136        -52.0039
      19:     -14.2561 +       435.75 j         3.26987         69.3518
      20:     -14.2561 +      -435.75 j         3.26987        -69.3518
      21:     -16.1946 +      464.398 j          3.4851         73.9112
      22:     -16.1946 +     -464.398 j          3.4851        -73.9112
      23:     -29.3231 +      624.591 j         4.68959         99.4068
      24:     -29.3231 +     -624.591 j         4.68959        -99.4068
      25:     -44.9549 +      772.902 j         5.80656         123.011
      26:     -44.9549 +     -772.902 j         5.80656        -123.011
      27:     -9.08178 +      347.862 j         2.60985          55.364
      28:     -9.08178 +     -347.862 j         2.60985         -55.364
      29:     -9.08178 +      347.862 j         2.60985          55.364
      30:     -9.08178 +     -347.862 j         2.60985         -55.364
      31:       -495.6 +      2522.37 j         19.2795         401.448
      32:       -495.6 +     -2522.37 j         19.2795        -401.448
      33:     -592.025 +      2746.48 j         21.0718         437.116
      34:     -592.025 +     -2746.48 j         21.0718        -437.116
      35:     -688.929 +      2951.38 j         22.7316         469.726
      36:     -688.929 +     -2951.38 j         22.7316        -469.726
      37:     -1065.49 +      3615.43 j         28.2687         575.413
      38:     -1065.49 +     -3615.43 j         28.2687        -575.413
      39:     -1115.89 +      3692.33 j         28.9295         587.653
      40:     -1115.89 +     -3692.33 j         28.9295        -587.653
      41:     -1298.79 +      3953.53 j         31.2105         629.224
      42:     -1298.79 +     -3953.53 j         31.2105        -629.224
      43:     -1228.69 +      3856.52 j         30.3565         613.784
      44:     -1228.69 +     -3856.52 j         30.3565        -613.784
      45:     -1257.05 +      3896.21 j         30.7048         620.101
      46:     -1257.05 +     -3896.21 j         30.7048        -620.101
      47:     -1751.07 +      4503.48 j         36.2396         716.752
      48:     -1751.07 +     -4503.48 j         36.2396        -716.752
      49:     -1656.16 +      4397.64 j         35.2437         699.906
      50:     -1656.16 +     -4397.64 j         35.2437        -699.906
      51:     -1162.41 +      3761.34 j         29.5264         598.636
      52:     -1162.41 +     -3761.34 j         29.5264        -598.636
      53:     -1162.42 +      3761.34 j         29.5266         598.636
      54:     -1162.42 +     -3761.34 j         29.5266        -598.636
      55:     -3384.11 +      5802.52 j         50.3794           923.5
      56:     -3384.11 +     -5802.52 j         50.3794          -923.5
      57:     -3353.41 +      5785.05 j         50.1503          920.72
      58:     -3353.41 +     -5785.05 j         50.1503         -920.72
      59:     -3540.75 +      5888.31 j         51.5327         937.153
      60:     -3540.75 +     -5888.31 j         51.5327        -937.153
      61:     -3540.68 +      5888.43 j         51.5312         937.173
      62:     -3540.68 +     -5888.43 j         51.5312        -937.173
      63:     -6395.16 +      6661.14 j         69.2558         1060.15
      64:     -6395.16 +     -6661.14 j         69.2558        -1060.15
      65:     -6844.35 +       6664.9 j         71.6437         1060.75
      66:     -6844.35 +      -6664.9 j         71.6437        -1060.75
      67:     -7889.88 +      6554.28 j         76.9209         1043.15
      68:     -7889.88 +     -6554.28 j         76.9209        -1043.15
      69:     -9907.17 +      5826.13 j         86.1996         927.257
      70:     -9907.17 +     -5826.13 j         86.1996        -927.257
      71:     -10074.5 +      5729.93 j         86.9243         911.947
      72:     -10074.5 +     -5729.93 j         86.9243        -911.947
      73:       -11674 +      4401.21 j          93.571         700.474
      74:       -11674 +     -4401.21 j          93.571        -700.474
      75:       -11309 +      4784.72 j         92.0963         761.511
      76:       -11309 +     -4784.72 j         92.0963        -761.511
      77:     -10615.6 +      5371.21 j         89.2285         854.854
      78:     -10615.6 +     -5371.21 j         89.2285        -854.854
      79:     -10560.1 +       5411.6 j         88.9948         861.283
      80:     -10560.1 +      -5411.6 j         88.9948        -861.283
      81:     -10527.4 +      5435.06 j         88.8567         865.016
      82:     -10527.4 +     -5435.06 j         88.8567        -865.016
      83:     -10458.1 +      5483.49 j         88.5643         872.724
      84:     -10458.1 +     -5483.49 j         88.5643        -872.724
      85:     -10457.8 +      5483.78 j         88.5626         872.771
      86:     -10457.8 +     -5483.78 j         88.5626        -872.771
      87:     -40539.6 +            0 j             100               0
      88:     -7981.34 +            0 j             100               0
      89:     -48923.5 +            0 j             100               0
      90:     -49753.5 +            0 j             100               0
      91:     -52613.5 +            0 j             100               0
      92:     -48897.4 +            0 j             100               0
      93:     -7698.23 +            0 j             100               0
      94:     -7633.82 +            0 j             100               0
      95:     -7718.98 +            0 j             100               0
      96:     -65665.7 +            0 j             100               0
